,run,time_mean,time_med,time_min,time_max,time_var,size,pattern,sparsity,algorithm,gflops_mean,gflops_med,gflops_min,gflops_max,gflops_var,rel_error_mean,rel_error_med,rel_error_min,rel_error_max,rel_error_var
90,avg,40.056732000000004,40.057983,39.975105,40.148033,0.0023855181002758455,5376,blockrandom,0.3,SpMM with Tensors,7757.69828705008,7757.444873753366,7740.0453155949135,7773.527918238114,89.42263106532468,0.22987349999999998,0.22986499999999999,0.229806,0.229952,1.5469482758620113e-09
91,avg,1.5245045,0.192896,0.186368,40.093311,53.06376320810957,1280,blockrandom,0.7,SpMM with Tensors,20868.80705786699,21743.948147104413,104.61356010233229,22505.494505494506,15894251.876082603,0.005202099999999999,0.0051975,0.005157,0.005257,4.863689655172423e-10
92,avg,0.1513205333333333,0.150608,0.145408,0.16384,1.7496465360919555e-05,1280,blockrandom,0.8,SpMM with Tensors,27737.930141435914,27849.15265745287,25600.0,28845.070422535213,556518.6487701203,0.0032554333333333334,0.003257,0.003198,0.003291,3.8590919540229986e-10
93,avg,0.31672213333333327,0.31475200000000003,0.307488,0.334784,4.441968522298855e-05,1280,blockrandom,0.4,SpMM with Tensors,13248.40367700436,13325.742309352667,12528.388453450583,13640.54532209387,74555.76942466413,0.011200566666666665,0.011202,0.011151,0.011238,4.591505747126437e-10
94,avg,0.11242559999999996,0.111984,0.10784,0.117888,8.22746217931035e-06,1280,blockrandom,0.9,SpMM with Tensors,37330.63856699825,37454.665533929685,35578.71878393051,38893.76854599406,890274.2862259867,0.0014418999999999996,0.001443,0.001423,0.001464,7.823103448275876e-11
95,avg,1.5719423333333333,0.235488,0.228416,39.909374,52.43256653701133,1280,blockrandom,0.6,SpMM with Tensors,16692.389659697317,17811.115969604216,105.09571009557804,18362.56654525077,14066811.967888575,0.006947499999999999,0.0069555,0.006866,0.007003,1.5669482758620722e-09
96,avg,0.28157546666666666,0.275552,0.267392,0.3584,0.0003315273928091954,1280,blockrandom,0.5,SpMM with Tensors,14946.562016549888,15221.462769607355,11702.857142857143,15685.974150311156,662555.6521901498,0.0092264,0.009226999999999999,0.009181,0.009292,6.238344827586226e-10
97,avg,0.3628501333333333,0.356448,0.349184,0.44032,0.0004005227649471264,1280,blockrandom,0.3,SpMM with Tensors,11589.335081792891,11766.945821650295,9525.581395348838,12011.730205278593,318159.70098963,0.012629933333333336,0.0126305,0.012596,0.012666,3.456505747126446e-10
98,avg,4.938699733333334,4.937264,4.916224,4.978688,0.00020077740902988672,4096,blockrandom,0.7,SpMM with Tensors,27829.1964507517,27837.06819928458,27605.45619086796,27956.202457821288,6351.552282863692,0.06648386666666667,0.0586035,0.058472,0.295427,0.0018697401981195402
99,avg,3.389744,3.3904639999999997,3.354624,3.428352,0.0003189055735172405,4096,blockrandom,0.8,SpMM with Tensors,40546.61199115289,40536.919433133386,40088.927120669054,40970.00244200244,45477.04269933816,0.0488108,0.03764,0.037563,0.372602,0.0037398625038896553
100,avg,15.562934366666667,13.035104,12.838912,52.634624,93.42192569671175,4096,blockrandom,0.4,SpMM with Tensors,10027.904520128159,10543.755815985856,2611.1890430147278,10704.87541872707,3978928.9617026104,0.12077370000000004,0.12077650000000001,0.120637,0.120906,4.371251724137989e-09
