,run,time,size,pattern,sparsity,algorithm,gflops,rel_error
123,3,43.907871,5376,blockrandom,0.6,cuBLAS GeMM,7077.264000160701,0.130776
124,3,17.130527,5376,blockrandom,0.6,cuBLAS GeMM with Tensors,18139.990366437647,0.130776
125,3,124.20192,5376,blockrandom,0.6,cuSPARSE CSR,2501.9548389590113,0.002855
126,26,168.631546,4096,blockrandom,0.8,Dense on GPU Coalescence,815.0251642240178,inf
127,26,19.539968,4096,blockrandom,0.8,Dense WMMA,7033.734828634315,0.037592
128,26,52.818687,4096,blockrandom,0.8,SpMM 1 Co,2602.089549708042,0.0
129,26,3.376128,4096,blockrandom,0.8,SpMM with Tensors,40709.04701243555,0.037592
130,26,39.121922,4096,blockrandom,0.8,cuBLAS GeMM,3513.0930804473255,0.037592
131,26,10.957984,4096,blockrandom,0.8,cuBLAS GeMM with Tensors,12542.357560660794,0.037592
132,26,30.125055,4096,blockrandom,0.8,cuSPARSE CSR,4562.280582458688,0.001384
133,21,164.837601,4096,blockrandom,0.8,Dense on GPU Coalescence,833.7839949029591,inf
134,21,19.535872,4096,blockrandom,0.8,Dense WMMA,7035.209560750603,0.037633
135,21,53.304321,4096,blockrandom,0.8,SpMM 1 Co,2578.3829695907766,0.0
136,21,3.417088,4096,blockrandom,0.8,SpMM with Tensors,40221.075217261015,0.037633
137,21,80.027649,4096,blockrandom,0.8,cuBLAS GeMM,1717.3933657853675,0.037633
138,21,10.59664,4096,blockrandom,0.8,cuBLAS GeMM with Tensors,12970.050268009481,0.037633
139,21,30.217216,4096,blockrandom,0.8,cuSPARSE CSR,4548.365854485072,0.001385
140,4,1615.228882,8192,blockrandom,0.7,Dense on GPU Coalescence,680.7156806251313,inf
141,4,846.351257,8192,blockrandom,0.7,Dense WMMA,1299.119743347885,0.24096
142,4,661.760071,8192,blockrandom,0.7,SpMM 1 Co,1661.4958743499046,0.0
143,4,80.277924,8192,blockrandom,0.7,SpMM with Tensors,13696.313668699255,0.24096
144,4,71.156738,8192,blockrandom,0.7,cuBLAS GeMM,15451.967848441844,0.043489
145,4,43.115551,8192,blockrandom,0.7,cuBLAS GeMM with Tensors,25501.509368997744,0.043489
146,4,324.412415,8192,blockrandom,0.7,cuSPARSE CSR,3389.2402908686463,0.005009
147,3,166.419678,4096,blockrandom,0.8,Dense on GPU Coalescence,825.8575856155664,inf
148,3,19.545088,4096,blockrandom,0.8,Dense WMMA,7031.892282705507,0.037563
149,3,53.186562,4096,blockrandom,0.8,SpMM 1 Co,2584.0917010578723,0.0
150,3,3.392096,4096,blockrandom,0.8,SpMM with Tensors,40517.41267699971,0.037563
151,3,36.77507,4096,blockrandom,0.8,cuBLAS GeMM,3737.2859785718965,0.037563
152,3,10.676224,4096,blockrandom,0.8,cuBLAS GeMM with Tensors,12873.367350853636,0.037563
153,3,29.954975,4096,blockrandom,0.8,cuSPARSE CSR,4588.184549377858,0.001383
154,1,436.108337,5376,blockrandom,0.7,Dense on GPU Coalescence,712.5467880060271,inf
155,1,246.789978,5376,blockrandom,0.7,Dense WMMA,1259.1580795554023,0.101443
156,1,197.071167,5376,blockrandom,0.7,SpMM 1 Co,1576.8293225360562,0.0
157,1,17.973345,5376,blockrandom,0.7,SpMM with Tensors,17289.35792152212,0.101443
158,1,148.167938,5376,blockrandom,0.7,cuBLAS GeMM,2097.266108623311,0.101443
159,1,16.615423,5376,blockrandom,0.7,cuBLAS GeMM with Tensors,18702.358330088857,0.101443
160,1,99.450851,5376,blockrandom,0.7,cuSPARSE CSR,3124.634848544433,0.00258
161,23,5.491712,1280,blockrandom,0.6,Dense on GPU Coalescence,763.7516315495059,inf
162,23,0.910336,1280,blockrandom,0.6,Dense WMMA,4607.424071991001,0.006973
163,23,3.286016,1280,blockrandom,0.6,SpMM 1 Co,1276.4100966033031,0.0
164,23,0.316416,1280,blockrandom,0.6,SpMM with Tensors,13255.663430420713,0.006973
165,23,34.548897,1280,blockrandom,0.6,cuBLAS GeMM,121.40196545203744,0.003311
166,23,6.854688,1280,blockrandom,0.6,cuBLAS GeMM with Tensors,611.8883893767302,0.003311
167,23,6.841344,1280,blockrandom,0.6,cuSPARSE CSR,613.0818739709624,0.000336
168,21,1615.70813,8192,blockrandom,0.7,Dense on GPU Coalescence,680.5137681494491,inf
169,21,844.849182,8192,blockrandom,0.7,Dense WMMA,1301.429475463468,0.241037
170,21,662.873779,8192,blockrandom,0.7,SpMM 1 Co,1658.7043606321317,0.0
171,21,80.187614,8192,blockrandom,0.7,SpMM with Tensors,13711.738919878573,0.241037
172,21,73.867073,8192,blockrandom,0.7,cuBLAS GeMM,14885.00333262156,0.043341
173,21,43.670528,8192,blockrandom,0.7,cuBLAS GeMM with Tensors,25177.429221281684,0.043341
174,21,325.279144,8192,blockrandom,0.7,cuSPARSE CSR,3380.209423374528,0.005012
175,4,1618.242554,8192,blockrandom,0.6,Dense on GPU Coalescence,679.4479758662928,inf
176,4,850.996216,8192,blockrandom,0.6,Dense WMMA,1292.0288094159987,0.319648
177,4,861.672913,8192,blockrandom,0.6,SpMM 1 Co,1276.0197183731132,0.0
178,4,104.899582,8192,blockrandom,0.6,SpMM with Tensors,10481.563480167157,0.319648
179,4,70.443008,8192,blockrandom,0.6,cuBLAS GeMM,15608.527503198045,0.061416
180,4,43.322369,8192,blockrandom,0.6,cuBLAS GeMM with Tensors,25379.7669230877,0.061416
181,4,439.485443,8192,blockrandom,0.6,cuSPARSE CSR,2501.815805935579,0.005585
182,22,5.334016,1280,blockrandom,0.5,Dense on GPU Coalescence,786.3313495872528,inf
183,22,0.684032,1280,blockrandom,0.5,Dense WMMA,6131.736526946108,0.009239
184,22,3.544992,1280,blockrandom,0.5,SpMM 1 Co,1183.1631778012475,0.0
185,22,0.275456,1280,blockrandom,0.5,SpMM with Tensors,15226.765799256505,0.009239
186,22,34.229248,1280,blockrandom,0.5,cuBLAS GeMM,122.53567475394142,0.004368
187,22,6.505472,1280,blockrandom,0.5,cuBLAS GeMM with Tensors,644.7347709743428,0.004368
188,22,7.104672,1280,blockrandom,0.5,cuSPARSE CSR,590.3585696848496,0.000397
189,13,168.7146,4096,blockrandom,0.9,Dense on GPU Coalescence,814.6239476133068,inf
190,13,19.542944,4096,blockrandom,0.9,Dense WMMA,7032.663731319089,0.017737
191,13,27.021984,4096,blockrandom,0.9,SpMM 1 Co,5086.190320888355,0.0
192,13,1.928192,4096,blockrandom,0.9,SpMM with Tensors,71278.66595857673,0.017737
193,13,36.579327,4096,blockrandom,0.9,cuBLAS GeMM,3757.284913197009,0.017737
194,13,10.590144,4096,blockrandom,0.9,cuBLAS GeMM with Tensors,12978.006103788579,0.017737
195,13,17.437824,4096,blockrandom,0.9,cuSPARSE CSR,7881.657337062239,0.000979
196,6,165.25238,4096,blockrandom,0.8,Dense on GPU Coalescence,831.6912196483947,inf
197,6,19.530048,4096,blockrandom,0.8,Dense WMMA,7037.307510560138,0.037639
198,6,53.014656,4096,blockrandom,0.8,SpMM 1 Co,2592.4709097801183,0.0
199,6,3.38944,4096,blockrandom,0.8,SpMM with Tensors,40549.16253776435,0.037639
200,6,76.650497,4096,blockrandom,0.8,cuBLAS GeMM,1793.0601737911759,0.037639
201,6,10.860544,4096,blockrandom,0.8,cuBLAS GeMM with Tensors,12654.886667923816,0.037639
202,6,30.94912,4096,blockrandom,0.8,cuSPARSE CSR,4440.8032755697095,0.001386
203,1,430.813477,5376,blockrandom,0.4,Dense on GPU Coalescence,721.3042565796984,inf
204,1,250.109955,5376,blockrandom,0.4,Dense WMMA,1242.4439273198861,0.207451
205,1,378.56073,5376,blockrandom,0.4,SpMM 1 Co,820.8659010986163,0.0
206,1,61.488129,5376,blockrandom,0.4,SpMM with Tensors,5053.781921905609,0.207451
207,1,44.920834,5376,blockrandom,0.4,cuBLAS GeMM,6917.671981602122,0.207451
208,1,16.766975,5376,blockrandom,0.4,cuBLAS GeMM with Tensors,18533.31294118349,0.207451
209,1,189.929474,5376,blockrandom,0.4,cuSPARSE CSR,1636.1209674702727,0.003661
210,13,433.11615,5376,blockrandom,0.4,Dense on GPU Coalescence,717.4694241994902,inf
211,13,237.381638,5376,blockrandom,0.4,Dense WMMA,1309.0633183346724,0.207456
212,13,373.915649,5376,blockrandom,0.4,SpMM 1 Co,831.0633576932748,0.0
213,13,36.251808,5376,blockrandom,0.4,SpMM with Tensors,8571.919909539409,0.207456
214,13,50.801983,5376,blockrandom,0.4,cuBLAS GeMM,6116.839863357302,0.207456
215,13,16.367617,5376,blockrandom,0.4,cuBLAS GeMM with Tensors,18985.51235356986,0.207456
216,13,189.883392,5376,blockrandom,0.4,cuSPARSE CSR,1636.518030771222,0.003662
217,13,5.280768,1280,blockrandom,0.8,Dense on GPU Coalescence,794.2602288152026,inf
218,13,0.68608,1280,blockrandom,0.8,Dense WMMA,6113.432835820896,0.003257
219,13,1.498112,1280,blockrandom,0.8,SpMM 1 Co,2799.7265892002733,0.0
220,13,0.149504,1280,blockrandom,0.8,SpMM with Tensors,28054.794520547945,0.003257
221,13,33.809185,1280,blockrandom,0.8,cuBLAS GeMM,124.05812207540643,0.001515
222,13,6.311936,1280,blockrandom,0.8,cuBLAS GeMM with Tensors,664.5035691109669,0.001515
223,13,5.976384,1280,blockrandom,0.8,cuSPARSE CSR,701.8130026450777,0.000242
224,10,432.072845,5376,blockrandom,0.8,Dense on GPU Coalescence,719.201862250797,inf
225,10,276.793335,5376,blockrandom,0.8,Dense WMMA,1122.670077124509,0.064302
226,10,130.285339,5376,blockrandom,0.8,SpMM 1 Co,2385.130952854181,0.0
227,10,11.256672,5376,blockrandom,0.8,SpMM with Tensors,27605.636439615544,0.064302
228,10,44.049438,5376,blockrandom,0.8,cuBLAS GeMM,7054.518941921575,0.064302
229,10,16.934912,5376,blockrandom,0.8,cuBLAS GeMM with Tensors,18349.525214657155,0.064302
230,10,63.48307,5376,blockrandom,0.8,cuSPARSE CSR,4894.967977320567,0.00204
231,1,5.262112,1280,blockrandom,0.9,Dense on GPU Coalescence,797.0761549735163,inf
232,1,0.68608,1280,blockrandom,0.9,Dense WMMA,6113.432835820896,0.001439
233,1,0.827392,1280,blockrandom,0.9,SpMM 1 Co,5069.306930693069,0.0
234,1,0.112224,1280,blockrandom,0.9,SpMM with Tensors,37374.39406900485,0.001439
235,1,34.905087,1280,blockrandom,0.9,cuBLAS GeMM,120.16311547941422,0.000701
236,1,6.418496,1280,blockrandom,0.9,cuBLAS GeMM with Tensors,653.4714674590433,0.000701
237,1,5.650592,1280,blockrandom,0.9,cuSPARSE CSR,742.2769154099252,0.000171
238,22,434.673859,5376,blockrandom,0.7,Dense on GPU Coalescence,714.8982813617969,inf
239,22,244.141403,5376,blockrandom,0.7,Dense WMMA,1272.818092030052,0.101395
240,22,196.298752,5376,blockrandom,0.7,SpMM 1 Co,1583.0339805318783,0.0
241,22,18.043903,5376,blockrandom,0.7,SpMM with Tensors,17221.75045786934,0.101395
242,22,43.799553,5376,blockrandom,0.7,cuBLAS GeMM,7094.766349601787,0.101395
243,22,16.574465,5376,blockrandom,0.7,cuBLAS GeMM with Tensors,18748.57467508001,0.101395
244,22,93.280258,5376,blockrandom,0.7,cuSPARSE CSR,3331.3329252584185,0.002579
245,7,165.151749,4096,blockrandom,0.6,Dense on GPU Coalescence,832.1979894502964,inf
246,7,19.544064,4096,blockrandom,0.6,Dense WMMA,7032.26071465996,0.078274
247,7,105.014275,4096,blockrandom,0.6,SpMM 1 Co,1308.7644843712915,0.0
248,7,6.718752,4096,blockrandom,0.6,SpMM with Tensors,20456.02419496954,0.078274
249,7,36.849663,4096,blockrandom,0.6,cuBLAS GeMM,3729.720770363626,0.078274
250,7,10.814816,4096,blockrandom,0.6,cuBLAS GeMM with Tensors,12708.39498998411,0.078274
251,7,56.263809,4096,blockrandom,0.6,cuSPARSE CSR,2442.7594916654148,0.00197
252,26,1617.811523,8192,blockrandom,0.6,Dense on GPU Coalescence,679.6290001304435,inf
253,26,852.020813,8192,blockrandom,0.6,Dense WMMA,1290.4750811245733,0.319555
254,26,853.35791,8192,blockrandom,0.6,SpMM 1 Co,1288.4530803446821,0.0
255,26,105.149727,8192,blockrandom,0.6,SpMM with Tensors,10456.628458731044,0.319555
256,26,81.851807,8192,blockrandom,0.6,cuBLAS GeMM,13432.95484943906,0.061446
257,26,44.062527,8192,blockrandom,0.6,cuBLAS GeMM with Tensors,24953.440091531746,0.061446
258,26,440.274048,8192,blockrandom,0.6,cuSPARSE CSR,2497.334632306104,0.005584
259,9,5.277888,1280,blockrandom,0.8,Dense on GPU Coalescence,794.6936350297694,inf
260,9,0.694272,1280,blockrandom,0.8,Dense WMMA,6041.2979351032445,0.00325
261,9,1.509376,1280,blockrandom,0.8,SpMM 1 Co,2778.8331071913162,0.0
262,9,0.158816,1280,blockrandom,0.8,SpMM with Tensors,26409.83276244207,0.00325
263,9,33.900799,1280,blockrandom,0.8,cuBLAS GeMM,123.72286564691292,0.00153
264,9,7.24688,1280,blockrandom,0.8,cuBLAS GeMM with Tensors,578.7737619499702,0.00153
265,9,5.912576,1280,blockrandom,0.8,cuSPARSE CSR,709.3869068236925,0.000241
266,27,1616.399658,8192,blockrandom,0.9,Dense on GPU Coalescence,680.2226307919697,inf
267,27,844.902405,8192,blockrandom,0.9,Dense WMMA,1301.3474944197844,0.075154
268,27,243.114395,8192,blockrandom,0.9,SpMM 1 Co,4522.6101390499725,0.0
269,27,24.840193,8192,blockrandom,0.9,SpMM with Tensors,44263.40921650649,0.075154
270,27,93.725822,8192,blockrandom,0.9,cuBLAS GeMM,11731.14947741936,0.013465
271,27,43.443329,8192,blockrandom,0.9,cuBLAS GeMM with Tensors,25309.101606278837,0.013465
272,27,108.212349,8192,blockrandom,0.9,cuSPARSE CSR,10160.685337086621,0.002767
273,26,5.286912,1280,blockrandom,0.9,Dense on GPU Coalescence,793.3372070501646,inf
274,26,0.684384,1280,blockrandom,0.9,Dense WMMA,6128.5827839341655,0.00144
